Date,Tm,Home_Away,Opp,W/L,R,RA,D/N,Streak
"Tuesday, Sep 3",BAL,Home,CHW,W,9.0,0.0,N,3
"Wednesday, Sep 4",BAL,Home,CHW,L,1.0,8.0,N,-1
"Friday, Sep 6",BAL,Home,TBR,W,2.0,0.0,N,1
"Saturday, Sep 7",BAL,Home,TBR,L,1.0,7.0,D,-1
"Sunday, Sep 8",BAL,Home,TBR,L,0.0,2.0,D,-2
"Friday, Sep 13",BAL,@,DET,L,0.0,1.0,N,-2
"Saturday, Sep 14",BAL,@,DET,W,4.0,2.0,N,1
"Sunday, Sep 15",BAL,@,DET,L,2.0,4.0,D,-1
"Tuesday, Sep 17",BAL,Home,SFG,L,0.0,10.0,N,-2
"Wednesday, Sep 18",BAL,Home,SFG,L,3.0,5.0,N,-3
"Thursday, Sep 19",BAL,Home,SFG,W-wo,5.0,3.0,D,1
"Friday, Sep 20",BAL,Home,DET,W,7.0,1.0,N,2
"Saturday, Sep 21",BAL,Home,DET,L,4.0,6.0,D,-1
"Sunday, Sep 22",BAL,Home,DET,L,3.0,4.0,D,-2
"Tuesday, Sep 24",BAL,@,NYY,W,5.0,3.0,N,1
"Wednesday, Sep 25",BAL,@,NYY,W,9.0,7.0,N,2
"Thursday, Sep 26",BAL,@,NYY,L,1.0,10.0,N,-1
"Friday, Sep 27",BAL,@,MIN,W,7.0,2.0,N,1
"Saturday, Sep 28",BAL,@,MIN,W,9.0,2.0,N,2
"Sunday, Sep 29",BAL,@,MIN,W,6.0,2.0,D,3
"Thursday, Mar 28",NYY,@,HOU,W,5.0,4.0,D,1
"Friday, Mar 29",NYY,@,HOU,W,7.0,1.0,N,2
"Saturday, Mar 30",NYY,@,HOU,W,5.0,3.0,N,3
"Sunday, Mar 31",NYY,@,HOU,W,4.0,3.0,D,4
"Monday, Apr 1",NYY,@,ARI,W,5.0,2.0,N,5
"Tuesday, Apr 2",NYY,@,ARI,L,0.0,7.0,N,-1
"Wednesday, Apr 3",NYY,@,ARI,W,6.0,5.0,D,1
"Friday, Apr 5",NYY,Home,TOR,L,0.0,3.0,D,-1
"Saturday, Apr 6",NYY,Home,TOR,W,9.0,8.0,N,1
"Sunday, Apr 7",NYY,Home,TOR,W,8.0,3.0,D,2
"Monday, Apr 8",NYY,Home,MIA,W,7.0,0.0,N,3
"Tuesday, Apr 9",NYY,Home,MIA,W,3.0,2.0,N,4
"Wednesday, Apr 10",NYY,Home,MIA,L,2.0,5.0,N,-1
"Saturday, Apr 13 (1)",NYY,@,CLE,W,3.0,2.0,D,1
"Saturday, Apr 13 (2)",NYY,@,CLE,W,8.0,2.0,N,2
"Sunday, Apr 14",NYY,@,CLE,L-wo,7.0,8.0,D,-1
"Monday, Apr 15",NYY,@,TOR,L,1.0,3.0,N,-2
"Tuesday, Apr 16",NYY,@,TOR,L,4.0,5.0,N,-3
"Wednesday, Apr 17",NYY,@,TOR,W,6.0,4.0,D,1
"Friday, Apr 19",NYY,Home,TBR,W,5.0,3.0,N,2
"Saturday, Apr 20",NYY,Home,TBR,L,0.0,2.0,D,-1
"Sunday, Apr 21",NYY,Home,TBR,W,5.0,4.0,D,1
"Monday, Apr 22",NYY,Home,OAK,L,0.0,2.0,D,-1
"Tuesday, Apr 23",NYY,Home,OAK,W,4.0,3.0,N,1
"Wednesday, Apr 24",NYY,Home,OAK,W,7.0,3.0,N,2
"Thursday, Apr 25",NYY,Home,OAK,L,1.0,3.0,N,-1
"Friday, Apr 26",NYY,@,MIL,L-wo,6.0,7.0,N,-2
"Saturday, Apr 27",NYY,@,MIL,W,15.0,3.0,N,1
"Sunday, Apr 28",NYY,@,MIL,W,15.0,5.0,D,2
"Friday, May 3",NYY,Home,DET,W-wo,2.0,1.0,N,1
"Saturday, May 4",NYY,Home,DET,W,5.0,3.0,D,2
"Sunday, May 5",NYY,Home,DET,W,5.0,2.0,D,3
"Tuesday, May 7",NYY,Home,HOU,W,10.0,3.0,N,4
"Wednesday, May 8",NYY,Home,HOU,W,9.0,4.0,N,5
"Thursday, May 9",NYY,Home,HOU,L,3.0,4.0,N,-1
"Friday, May 10",NYY,@,TBR,W,2.0,0.0,N,1
"Saturday, May 11",NYY,@,TBR,L,2.0,7.0,D,-1
"Sunday, May 12",NYY,@,TBR,W,10.0,6.0,D,1
"Tuesday, May 14",NYY,@,MIN,W,5.0,1.0,N,2
"Wednesday, May 15",NYY,@,MIN,W,4.0,0.0,N,3
"Thursday, May 16",NYY,@,MIN,W,5.0,0.0,D,4
"Friday, May 17",NYY,Home,CHW,W,4.0,2.0,N,5
"Saturday, May 18",NYY,Home,CHW,W,6.0,1.0,D,6
"Sunday, May 19",NYY,Home,CHW,W,7.0,2.0,D,7
"Monday, May 20",NYY,Home,SEA,L,4.0,5.0,N,-1
"Tuesday, May 21",NYY,Home,SEA,L,3.0,6.0,N,-2
"Wednesday, May 22",NYY,Home,SEA,W,7.0,3.0,N,1
"Thursday, May 23",NYY,Home,SEA,W,5.0,0.0,D,2
"Friday, May 24",NYY,@,SDP,W,8.0,0.0,N,3
"Saturday, May 25",NYY,@,SDP,W,4.0,1.0,N,4
"Sunday, May 26",NYY,@,SDP,L,2.0,5.0,D,-1
"Tuesday, May 28",NYY,@,LAA,L,3.0,4.0,N,-2
"Wednesday, May 29",NYY,@,LAA,W,2.0,1.0,N,1
"Thursday, May 30",NYY,@,LAA,W,8.0,3.0,N,2
"Friday, May 31",NYY,@,SFG,W,6.0,2.0,N,3
"Saturday, Jun 1",NYY,@,SFG,W,7.0,3.0,N,4
"Sunday, Jun 2",NYY,@,SFG,W,7.0,5.0,D,5
"Tuesday, Jun 4",NYY,Home,MIN,W,5.0,1.0,N,6
"Wednesday, Jun 5",NYY,Home,MIN,W,9.0,5.0,N,7
"Thursday, Jun 6",NYY,Home,MIN,W,8.0,5.0,N,8
"Friday, Jun 7",NYY,Home,LAD,L,1.0,2.0,N,-1
"Saturday, Jun 8",NYY,Home,LAD,L,3.0,11.0,N,-2
"Sunday, Jun 9",NYY,Home,LAD,W,6.0,4.0,N,1
"Monday, Jun 10",NYY,@,KCR,W,4.0,2.0,N,2
"Tuesday, Jun 11",NYY,@,KCR,W,10.0,1.0,N,3
"Wednesday, Jun 12",NYY,@,KCR,W,11.0,5.0,N,4
