SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
12025,1610612757,POR,Portland Trail Blazers,0012500015,2025-10-08,POR @ GSW,L,239,123,43,103,0.417,16,48,0.333,21,33,0.636,23,37,60,26,9,4,18,33,-6.0
12025,1610612758,SAC,Sacramento Kings,0012500016,2025-10-08,SAC vs. TOR,L,241,122,42,84,0.5,10,33,0.303,28,37,0.757,9,34,43,25,10,11,18,22,-8.0
12025,1610612759,SAS,San Antonio Spurs,0012500003,2025-10-08,SAS @ MIA,W,242,112,40,86,0.465,13,36,0.361,19,27,0.704,16,33,49,24,10,5,21,28,5.0
12025,1610612761,TOR,Toronto Raptors,0012500016,2025-10-08,TOR @ SAC,W,241,130,44,91,0.484,20,37,0.541,22,27,0.815,11,31,42,32,11,6,16,28,8.0
12025,1610612762,UTA,Utah Jazz,0012500037,2025-10-08,UTA @ HOU,L,240,127,50,89,0.562,20,45,0.444,7,12,0.583,9,26,35,36,9,4,20,25,-13.0
12025,1610612766,CHA,Charlotte Hornets,0012500042,2025-10-09,CHA @ OKC,L,240,116,38,93,0.409,16,43,0.372,24,32,0.75,14,37,51,21,10,4,19,25,-6.0
12025,1610612741,CHI,Chicago Bulls,0012500040,2025-10-09,CHI vs. CLE,W,240,119,43,98,0.439,14,42,0.333,19,32,0.594,12,43,55,32,13,4,19,28,7.0
12025,1610612739,CLE,Cleveland Cavaliers,0012500040,2025-10-09,CLE @ CHI,L,239,112,37,90,0.411,16,41,0.39,22,32,0.688,11,38,49,26,10,9,17,22,-7.0
12025,1610612765,DET,Detroit Pistons,0012500041,2025-10-09,DET @ MIL,L,240,111,39,86,0.453,10,33,0.303,23,33,0.697,13,29,42,23,8,3,14,29,-6.0
12025,1610612749,MIL,Milwaukee Bucks,0012500041,2025-10-09,MIL vs. DET,W,240,117,34,68,0.5,18,36,0.5,31,40,0.775,3,28,31,22,4,5,15,27,6.0
12025,1610612750,MIN,Minnesota Timberwolves,0012500039,2025-10-09,MIN @ NYK,L,265,95,32,85,0.376,15,38,0.395,16,19,0.842,14,41,55,20,6,7,23,27,-5.0
12025,1610612752,NYK,New York Knicks,0012500039,2025-10-09,NYK vs. MIN,W,265,100,35,102,0.343,15,57,0.263,15,20,0.75,18,37,55,22,11,6,11,20,5.0
12025,1610612760,OKC,Oklahoma City Thunder,0012500042,2025-10-09,OKC vs. CHA,W,241,122,44,90,0.489,15,43,0.349,19,24,0.792,10,33,43,30,9,13,16,25,6.0
