commence_time,home_team,away_team,bookmakers_key,name,price_1,price_2,price_3,price_4,price_5
2025-09-27 13:45:00-07:00,WSN,CHW,betrivers,CHW,-106,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,betrivers,WSN,-115,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,betus,CHW,-105,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,betus,WSN,-105,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,bovada,CHW,102,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,bovada,WSN,-122,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,draftkings,CHW,-107,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,draftkings,WSN,-113,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,fanduel,CHW,-104,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,fanduel,WSN,-112,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,lowvig,CHW,-105,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,lowvig,WSN,-105,,,,
2025-09-27 15:05:00-07:00,PHI,MIN,betmgm,MIN,165,165.0,180.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,betmgm,PHI,-200,-200.0,-220.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,betonlineag,MIN,175,182.0,193.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,betonlineag,PHI,-195,-203.0,-215.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,betrivers,MIN,175,175.0,195.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,betrivers,PHI,-220,-220.0,-245.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,betus,MIN,174,178.0,186.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,betus,PHI,-200,-205.0,-215.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,bovada,MIN,166,169.0,166.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,bovada,PHI,-202,-208.0,-202.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,draftkings,MIN,168,176.0,187.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,draftkings,PHI,-207,-218.0,-232.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,fanduel,MIN,172,180.0,194.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,fanduel,PHI,-205,-215.0,-235.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,lowvig,MIN,175,182.0,193.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,lowvig,PHI,-195,-203.0,-215.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,mybookieag,MIN,168,171.0,194.0,,
2025-09-27 15:05:00-07:00,PHI,MIN,mybookieag,PHI,-200,-204.0,-233.0,,
2025-09-27 16:11:00-07:00,MIL,CIN,betmgm,CIN,125,115.0,115.0,105.0,
2025-09-27 16:11:00-07:00,MIL,CIN,betmgm,MIL,-150,-135.0,-135.0,-125.0,
2025-09-27 16:11:00-07:00,MIL,CIN,betonlineag,CIN,131,117.0,114.0,108.0,
2025-09-27 16:11:00-07:00,MIL,CIN,betonlineag,MIL,-145,-129.0,-126.0,-119.0,
2025-09-27 16:11:00-07:00,MIL,CIN,betrivers,CIN,125,118.0,120.0,112.0,
2025-09-27 16:11:00-07:00,MIL,CIN,betrivers,MIL,-152,-143.0,-148.0,-137.0,
2025-09-27 16:11:00-07:00,MIL,CIN,betus,CIN,130,119.0,115.0,109.0,
2025-09-27 16:11:00-07:00,MIL,CIN,betus,MIL,-145,-131.0,-126.0,-120.0,
2025-09-27 16:11:00-07:00,MIL,CIN,bovada,CIN,129,129.0,115.0,114.0,
2025-09-27 16:11:00-07:00,MIL,CIN,bovada,MIL,-154,-154.0,-138.0,-136.0,
2025-09-27 16:11:00-07:00,MIL,CIN,draftkings,CIN,128,113.0,113.0,104.0,
2025-09-27 16:11:00-07:00,MIL,CIN,draftkings,MIL,-157,-137.0,-137.0,-126.0,
2025-09-27 16:11:00-07:00,MIL,CIN,fanduel,CIN,128,116.0,116.0,116.0,
2025-09-27 16:11:00-07:00,MIL,CIN,fanduel,MIL,-152,-134.0,-134.0,-134.0,
2025-09-27 16:11:00-07:00,MIL,CIN,lowvig,CIN,131,117.0,114.0,108.0,
2025-09-27 16:11:00-07:00,MIL,CIN,lowvig,MIL,-145,-129.0,-126.0,-119.0,
2025-09-27 16:11:00-07:00,MIL,CIN,mybookieag,CIN,130,115.0,115.0,107.0,
2025-09-27 16:11:00-07:00,MIL,CIN,mybookieag,MIL,-154,-135.0,-135.0,-127.0,
2025-09-27 16:15:00-07:00,ATL,PIT,betmgm,ATL,-175,-175.0,-175.0,-175.0,
2025-09-27 16:15:00-07:00,ATL,PIT,betmgm,PIT,145,145.0,145.0,145.0,
2025-09-27 16:15:00-07:00,ATL,PIT,betonlineag,ATL,-169,-169.0,-166.0,-164.0,
2025-09-27 16:15:00-07:00,ATL,PIT,betonlineag,PIT,153,153.0,150.0,148.0,
2025-09-27 16:15:00-07:00,ATL,PIT,betrivers,ATL,-190,-190.0,-186.0,-177.0,
2025-09-27 16:15:00-07:00,ATL,PIT,betrivers,PIT,155,155.0,150.0,143.0,
2025-09-27 16:15:00-07:00,ATL,PIT,betus,ATL,-171,-168.0,-166.0,-167.0,
2025-09-27 16:15:00-07:00,ATL,PIT,betus,PIT,151,149.0,147.0,148.0,
2025-09-27 16:15:00-07:00,ATL,PIT,bovada,ATL,-174,-180.0,-174.0,-174.0,
2025-09-27 16:15:00-07:00,ATL,PIT,bovada,PIT,143,148.0,143.0,143.0,
2025-09-27 16:15:00-07:00,ATL,PIT,draftkings,ATL,-176,-181.0,-181.0,-176.0,
2025-09-27 16:15:00-07:00,ATL,PIT,draftkings,PIT,144,148.0,148.0,144.0,
2025-09-27 16:15:00-07:00,ATL,PIT,fanduel,ATL,-162,-172.0,-172.0,-172.0,
2025-09-27 16:15:00-07:00,ATL,PIT,fanduel,PIT,136,144.0,144.0,144.0,
2025-09-27 16:15:00-07:00,ATL,PIT,lowvig,ATL,-169,-169.0,-166.0,-164.0,
2025-09-27 16:15:00-07:00,ATL,PIT,lowvig,PIT,153,153.0,150.0,148.0,
2025-09-27 16:15:00-07:00,ATL,PIT,mybookieag,ATL,-172,-175.0,-175.0,-175.0,
2025-09-27 16:15:00-07:00,ATL,PIT,mybookieag,PIT,145,149.0,149.0,148.0,
2025-09-27 16:16:00-07:00,CLE,TEX,betmgm,CLE,-160,-145.0,-150.0,-150.0,
2025-09-27 16:16:00-07:00,CLE,TEX,betmgm,TEX,135,120.0,125.0,125.0,
2025-09-27 16:16:00-07:00,CLE,TEX,betonlineag,CLE,-155,-138.0,-139.0,-142.0,
2025-09-27 16:16:00-07:00,CLE,TEX,betonlineag,TEX,140,125.0,126.0,129.0,
2025-09-27 16:16:00-07:00,CLE,TEX,betrivers,CLE,-177,-157.0,-152.0,-152.0,
2025-09-27 16:16:00-07:00,CLE,TEX,betrivers,TEX,145,128.0,125.0,125.0,
2025-09-27 16:16:00-07:00,CLE,TEX,betus,CLE,-155,-138.0,-140.0,-142.0,
2025-09-27 16:16:00-07:00,CLE,TEX,betus,TEX,138,125.0,126.0,128.0,
2025-09-27 16:16:00-07:00,CLE,TEX,bovada,CLE,-164,-164.0,-147.0,-147.0,
2025-09-27 16:16:00-07:00,CLE,TEX,bovada,TEX,138,138.0,123.0,123.0,
