,name,price,commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key
126,Atlanta Braves,-156,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,fanduel,h2h
127,Pittsburgh Pirates,132,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,fanduel,h2h
128,Atlanta Braves,-154,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,lowvig,h2h
129,Pittsburgh Pirates,139,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,lowvig,h2h
130,Atlanta Braves,-154,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,betonlineag,h2h
131,Pittsburgh Pirates,139,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,betonlineag,h2h
132,Atlanta Braves,-158,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,draftkings,h2h
133,Pittsburgh Pirates,129,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,draftkings,h2h
134,Atlanta Braves,-156,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,mybookieag,h2h
135,Pittsburgh Pirates,132,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,mybookieag,h2h
136,Atlanta Braves,-151,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,betus,h2h
137,Pittsburgh Pirates,135,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,betus,h2h
138,Atlanta Braves,-162,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,betrivers,h2h
139,Pittsburgh Pirates,128,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,betrivers,h2h
140,Atlanta Braves,-165,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,betmgm,h2h
141,Pittsburgh Pirates,135,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,betmgm,h2h
142,Atlanta Braves,-162,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,bovada,h2h
143,Pittsburgh Pirates,136,2025-09-26T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,bovada,h2h
144,Cincinnati Reds,144,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,fanduel,h2h
145,Milwaukee Brewers,-172,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,fanduel,h2h
146,Cincinnati Reds,146,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,lowvig,h2h
147,Milwaukee Brewers,-161,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,lowvig,h2h
148,Cincinnati Reds,146,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,betonlineag,h2h
149,Milwaukee Brewers,-161,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,betonlineag,h2h
150,Cincinnati Reds,139,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,draftkings,h2h
151,Milwaukee Brewers,-170,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,draftkings,h2h
152,Cincinnati Reds,140,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,mybookieag,h2h
153,Milwaukee Brewers,-167,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,mybookieag,h2h
154,Cincinnati Reds,140,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,betus,h2h
155,Milwaukee Brewers,-157,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,betus,h2h
156,Cincinnati Reds,145,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,betrivers,h2h
157,Milwaukee Brewers,-182,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,betrivers,h2h
